data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1986-08-01,1,Brasil,2,%,3.55,1,Brasil,198608,agosto 1986,63,IPCA - Variação mensal,1986-08-01
1986-09-01,1,Brasil,2,%,1.72,1,Brasil,198609,setembro 1986,63,IPCA - Variação mensal,1986-09-01
1986-10-01,1,Brasil,2,%,1.9,1,Brasil,198610,outubro 1986,63,IPCA - Variação mensal,1986-10-01
1986-11-01,1,Brasil,2,%,5.45,1,Brasil,198611,novembro 1986,63,IPCA - Variação mensal,1986-11-01
1986-12-01,1,Brasil,2,%,11.65,1,Brasil,198612,dezembro 1986,63,IPCA - Variação mensal,1986-12-01
1987-01-01,1,Brasil,2,%,13.21,1,Brasil,198701,janeiro 1987,63,IPCA - Variação mensal,1987-01-01
1987-02-01,1,Brasil,2,%,12.64,1,Brasil,198702,fevereiro 1987,63,IPCA - Variação mensal,1987-02-01
1987-03-01,1,Brasil,2,%,16.37,1,Brasil,198703,março 1987,63,IPCA - Variação mensal,1987-03-01
1987-04-01,1,Brasil,2,%,19.1,1,Brasil,198704,abril 1987,63,IPCA - Variação mensal,1987-04-01
1987-05-01,1,Brasil,2,%,21.45,1,Brasil,198705,maio 1987,63,IPCA - Variação mensal,1987-05-01
1987-06-01,1,Brasil,2,%,19.71,1,Brasil,198706,junho 1987,63,IPCA - Variação mensal,1987-06-01
1987-07-01,1,Brasil,2,%,9.21,1,Brasil,198707,julho 1987,63,IPCA - Variação mensal,1987-07-01
1987-08-01,1,Brasil,2,%,4.87,1,Brasil,198708,agosto 1987,63,IPCA - Variação mensal,1987-08-01
1987-09-01,1,Brasil,2,%,7.78,1,Brasil,198709,setembro 1987,63,IPCA - Variação mensal,1987-09-01
1987-10-01,1,Brasil,2,%,11.22,1,Brasil,198710,outubro 1987,63,IPCA - Variação mensal,1987-10-01
1987-11-01,1,Brasil,2,%,15.08,1,Brasil,198711,novembro 1987,63,IPCA - Variação mensal,1987-11-01
1987-12-01,1,Brasil,2,%,14.15,1,Brasil,198712,dezembro 1987,63,IPCA - Variação mensal,1987-12-01
1988-01-01,1,Brasil,2,%,18.89,1,Brasil,198801,janeiro 1988,63,IPCA - Variação mensal,1988-01-01
1988-02-01,1,Brasil,2,%,15.7,1,Brasil,198802,fevereiro 1988,63,IPCA - Variação mensal,1988-02-01
1988-03-01,1,Brasil,2,%,17.6,1,Brasil,198803,março 1988,63,IPCA - Variação mensal,1988-03-01
1988-04-01,1,Brasil,2,%,19.29,1,Brasil,198804,abril 1988,63,IPCA - Variação mensal,1988-04-01
1988-05-01,1,Brasil,2,%,17.42,1,Brasil,198805,maio 1988,63,IPCA - Variação mensal,1988-05-01
1988-06-01,1,Brasil,2,%,22.0,1,Brasil,198806,junho 1988,63,IPCA - Variação mensal,1988-06-01
