monthyear,Mediana
2014-09-01,0.5226262626262627
2014-10-01,0.5341545893719807
2014-11-01,0.5446944444444445
2014-12-01,0.5463888888888889
2015-01-01,0.5383862433862434
2015-02-01,0.5104938271604939
2015-03-01,0.49757575757575756
2015-04-01,0.4596388888888889
2015-05-01,0.4436388888888889
2015-06-01,0.45142857142857146
2015-07-01,0.45785024154589377
2015-08-01,0.4632539682539683
2015-09-01,0.4881216931216931
2015-10-01,0.5264021164021164
2015-11-01,0.5558888888888889
2015-12-01,0.5661363636363637
2016-01-01,0.5465555555555556
2016-02-01,0.5288888888888889
2016-03-01,0.49684343434343436
2016-04-01,0.46397222222222223
2016-05-01,0.446005291005291
2016-06-01,0.4416666666666667
2016-07-01,0.44203703703703706
2016-08-01,0.43932367149758456
2016-09-01,0.4428571428571429
2016-10-01,0.43547222222222226
2016-11-01,0.4305833333333333
2016-12-01,0.4204040404040404
2017-01-01,0.4024747474747475
2017-02-01,0.37280864197530866
2017-03-01,0.34751207729468603
2017-04-01,0.3376851851851852
2017-05-01,0.3421212121212121
2017-06-01,0.3302910052910053
2017-07-01,0.3421428571428572
2017-08-01,0.36683574879227054
2017-09-01,0.3583888888888889
2017-10-01,0.3641269841269841
2017-11-01,0.3671666666666667
2017-12-01,0.3506388888888889
2018-01-01,0.3405555555555556
2018-02-01,0.3279320987654321
2018-03-01,0.307989417989418
2018-04-01,0.30698412698412697
2018-05-01,0.3178835978835979
2018-06-01,0.3431746031746032
2018-07-01,0.31946969696969696
2018-08-01,0.31333333333333335
2018-09-01,0.3414035087719298
2018-10-01,0.35669191919191917
2018-11-01,0.33419444444444446
2018-12-01,0.33066666666666666
2019-01-01,0.3368434343434344
2019-02-01,0.32511111111111113
2019-03-01,0.31415204678362574
2019-04-01,0.30214285714285716
2019-05-01,0.2896212121212121
2019-06-01,0.2773976608187135
2019-07-01,0.2906038647342995
2019-08-01,0.303459595959596
2019-09-01,0.3041534391534392
2019-10-01,0.3045893719806763
2019-11-01,0.31758333333333333
2019-12-01,0.3372751322751323
2020-01-01,0.312550505050505
2020-02-01,0.28706790123456793
2020-03-01,0.27515151515151515
2020-04-01,0.23230555555555554
2020-05-01,0.2165
2020-06-01,0.2375132275132275
2020-07-01,0.2529227053140097
2020-08-01,0.24838624338624338
2020-09-01,0.2683068783068783
2020-10-01,0.29708994708994707
2020-11-01,0.31677777777777777
2020-12-01,0.3404292929292929
2021-01-01,0.3005673758865248
2021-02-01,0.29877777777777775
2021-03-01,0.31925808695652175
2021-04-01,0.312712
2021-05-01,0.31939161904761904
2021-06-01,0.3256792380952381
2021-07-01,0.3319305454545455
2021-08-01,0.3360530909090909
2021-09-01,0.35678495238095237
2021-10-01,0.359906
2021-11-01,0.3805028
2021-12-01,0.37203321739130435
2022-01-01,0.3577032380952381
2022-02-01,0.3683511578947369
2022-03-01,0.38415581818181815
2022-04-01,0.38665221052631576
2022-05-01,0.3981969090909091
2022-06-01,0.40483123809523813
2022-07-01,0.36570819047619046
2022-08-01,0.3680459130434782
2022-09-01,0.3595300952380952
2022-10-01,0.35557900000000003
2022-11-01,0.3612096
2022-12-01,0.367398
2023-01-01,0.37309563636363635
2023-02-01,0.3909988888888889
2023-03-01,0.3891064347826087
2023-04-01,0.3801486666666667
2023-05-01,0.3675881818181818
2023-06-01,0.33191542857142853
2023-07-01,0.3197718095238095
2023-08-01,0.3152958260869565
2023-09-01,0.3170828
2023-10-01,0.31251980952380953
2023-11-01,0.3082102
2023-12-01,0.309085
2024-01-01,0.30814327272727277
2024-02-01,0.3073861052631579
2024-03-01,0.2942264
2024-04-01,0.2900947272727273
2024-05-01,0.29414742857142856
