,0,1,2,3,4,5,igpm
2005-04-01,-53362328.51044433,-3452619.263498057,-3872824.258061979,1845085.0660960474,-1041871.1248110667,543322.8252220153,0.86
2005-05-01,-50043124.78074396,-7478935.154767936,-4520462.850780689,-2929162.074479988,477330.1064082654,4378302.21741303,-0.22
2005-06-01,-43244659.8090077,-8550171.922303814,-3024057.468380998,-915997.5868607968,-3807064.8352764403,514082.2619690626,-0.44
2005-07-01,-32203970.656210933,406028.8692926317,-3971518.8855788624,-892784.9346984724,506417.55237105105,-343529.7817806437,-0.34
2005-08-01,-35648110.2365695,-4530466.3371145865,-3123378.8161517293,-126225.53615004824,-2847562.95692001,2589738.558898954,-0.65
2005-09-01,-28488485.368452683,-6154590.848787311,-6454730.33989249,-4026243.895645991,-1233946.6779479783,3308775.586450511,-0.53
2005-10-01,-52766488.47500453,-3848412.1524503757,-2170404.1843848825,226150.01441133232,-877167.7675833242,784961.7138347824,0.6
2005-11-01,-25696830.10543219,-5607881.080345316,-6009043.963079801,-6293217.786433353,1152495.680215658,3173572.9367512683,0.4
2005-12-01,-6044188.3057155,-25401851.307268444,-4557648.024531831,-8360669.748330519,952880.4664918729,-123703.33656263562,-0.01
2006-01-01,-52628427.679385744,19417256.392500397,-5011360.0954205915,5792612.7498981925,117255.1530232584,1067574.3932905432,0.92
2006-02-01,-31095775.81571525,-2422156.2013251083,-7013265.594156415,321721.78265768354,4048356.0555952536,2074503.3623726917,0.01
2006-03-01,-46260600.09144666,-3273950.215386899,-7123141.162340486,1866740.3010058347,-7335755.674184187,4185508.0949189467,-0.23
2006-04-01,-52193337.063152894,-4587352.863072816,-6205979.3810811145,776498.2052609453,-424658.3449765035,1936009.385162331,-0.42
2006-05-01,-27038502.10044245,-7918281.135063085,-1766991.0476390137,-2059072.0428559997,-4357353.662935957,4169057.998360289,0.38
2006-06-01,-49713763.23880609,-10948202.132574473,-5996846.315284453,1482316.1202117936,4068693.1171350447,1219109.2891836197,0.75
2006-07-01,-38674746.18784823,-3871160.16756691,1203485.968429818,-4280060.12786138,851451.2552011033,227807.71537692499,0.18
2006-08-01,-42821391.5342829,-4554521.032794083,-3655567.300782786,-4276781.518422443,4192217.7514607203,3028209.0091867424,0.37
2006-09-01,-34496626.116682164,-4857224.587529448,-5791264.4264436625,-8817136.404086579,-392654.01640051254,-285577.54400896345,0.29
2006-10-01,-33689489.32083081,-6446905.07994552,-3528368.156270387,-1601426.6192381652,-1102896.6177864636,2217521.418054857,0.47
2006-11-01,-12651340.04132459,-3742423.851088734,-2306224.0938599003,-6562339.953223998,1842712.3110045702,945869.3987170105,0.75
2006-12-01,-16845333.29557931,-24168245.556444593,-12620894.700650904,-15676338.844168387,1021845.1677798869,-750549.6968651251,0.32
2007-01-01,-47330461.390545554,24999241.456401482,4755370.982740175,5845337.798797471,894943.5703187323,-3010699.821387091,0.5
2007-02-01,-39437086.918111704,1619067.8104943899,-1341069.1926736215,-2143398.8942087614,-529680.5307352153,-125495.09829158748,0.27
2007-03-01,-43025789.584147744,-5760720.409447828,1328408.2198957792,-4670040.805503826,3159154.0788133154,827452.3570410917,0.34
2007-04-01,-17726808.067871142,5105546.992618339,-729668.4912434526,-3021896.8903986756,8935408.55703445,2231625.465919354,0.04
2007-05-01,-35857790.85369506,-4548338.290779189,-1915835.6982623946,-3536540.503666715,-6345090.156735622,-1090077.9661796317,0.04
2007-06-01,-25189476.610127874,-8827535.64285394,-2291897.526656096,-4838536.763383217,3547953.1709420145,1526137.6223155682,0.26
2007-07-01,-53659666.79686597,-15679968.221541947,22044753.618379693,-8557545.20470874,5056334.309264955,-529054.0063806475,0.28
2007-08-01,-42785648.570344254,-18265083.847069837,-8364285.6245097965,1952889.6773258105,-4048646.9597699293,-1420713.5139861042,0.98
2007-09-01,15030074.015748914,10725176.176312864,23043488.511355076,-13759472.2257123,8210709.761338627,-2411402.436133623,1.29
2007-10-01,-23925386.986126795,-3264502.049625098,-2387832.875877286,-3449253.8641364905,2860660.3612162573,2706392.4824415375,1.05
2007-11-01,-10057810.017886741,-1599444.67455846,-24745141.126312733,-4419809.639982368,2334280.3564094156,2354389.976407365,0.69
2007-12-01,2684399.2405193145,-52189008.70805583,-17440725.80020264,-28161064.153754674,-1669212.4403327683,7690887.256718354,1.76
2008-01-01,-72547383.25415449,35906821.92224073,9681278.522988359,27760685.64044411,-3364641.6214363696,-15642960.624770343,1.09
2008-02-01,-35213267.46931159,4209489.33994222,1320921.5806270433,2663261.321466731,-374237.8602991165,-2408742.131773488,0.53
2008-03-01,-27239340.458698776,-13467292.314003667,-943975.8937285055,5984098.60505023,68036.81347786104,2219722.609079159,0.74
2008-04-01,4314545.222530125,-11984406.484274635,-659255.6749741749,5968341.155276211,-5953386.742530318,3134310.628838563,0.69
2008-05-01,-5420981.261335136,-9184194.116415888,3319482.0889335517,12946232.787649406,5019968.103275961,-253772.79075469222,1.61
2008-06-01,-29342743.174265366,-19296348.174599648,-621939.0866630843,3359649.5454173707,-6637339.926803604,164753.14227924796,1.98
2008-07-01,13148325.694841769,-17745349.110632207,-843840.6183591407,15949360.382339017,-6976850.4356242865,-1566601.2159049215,1.76
2008-08-01,4933053.9965549605,-20126567.15791787,179144.11854835416,14207647.68621927,-1829969.6649509703,-207284.75768286092,-0.32
2008-09-01,-9508064.167943586,-27106320.056931067,-1639401.299477595,4214321.905884562,-2908580.989837947,3536643.6463964935,0.11
2008-10-01,-43170118.9389437,-19731430.171683192,-3295430.372024966,15907133.964128446,-8016236.286214263,-3219321.3750332166,0.98
2008-11-01,-3827460.108775666,-6089746.9907067595,-578018.9057648657,-6716890.719048268,-2199280.348436097,195343.71411074413,0.38
2008-12-01,778715.4208998985,-32768576.204174418,-238598.2146134385,-16466114.276622469,-3266269.261773754,1091991.9040050237,-0.13
2009-01-01,-71424030.21815963,21281205.49683569,497085.0743169708,18677901.014744382,2717679.6009562677,-5455190.039811595,-0.44
2009-02-01,-38002775.89980332,-2667093.9604713386,-2433374.7765418207,1062423.2566171011,1974526.1167682456,1076552.460532219,0.26
2009-03-01,-44823098.47569073,428519.1023386981,-1468495.9959398366,-2276594.1252548825,-1311294.6232607951,1893693.8000213872,-0.74
2009-04-01,-26847588.910877764,2714192.6819424424,-9953827.527318858,-1089035.3571998533,10514037.179927956,3950088.0539179384,-0.15
2009-05-01,-16657169.327861354,-108566.26982307326,-3056226.094503135,-2886659.80000883,-11887318.714936422,-2890111.5077410787,-0.07
2009-06-01,-35233065.13146878,-21547948.919976894,-12002805.506941073,1616281.8958576596,-1460250.0531592893,3540423.037821787,-0.1
2009-07-01,158043.26935081635,20185967.033755276,13597855.51476854,-6973201.20333155,2487452.8435693756,-9189561.70606436,-0.43
2009-08-01,-15215194.716391426,4873660.990446682,-5979237.274597011,-7321813.322623888,2563639.2330936454,223060.87427200782,-0.36
2009-09-01,-4623363.602695505,-3780375.9941737074,-6650482.0622195015,-5112071.582460196,3532523.588497117,2109016.404851099,0.42
2009-10-01,-27565926.720525514,11439222.195804836,4784454.2938319435,-8659353.94692422,5002436.6038534725,-2227550.8183050794,0.05
2009-11-01,-14533063.319929004,-8241935.958828143,-5686892.641623999,-8458063.095897343,8969267.420693364,1494190.187372921,0.1
2009-12-01,8131199.212102697,-28237800.973794654,-7623199.06830549,-23211454.91331953,-10306129.775060032,-3362308.134478402,-0.26
2010-01-01,72298403.20502676,95276875.74488522,-5854222.317527239,-2325906.7757536722,8326549.334824658,-5927241.428221292,0.63
2010-02-01,-43647731.754408166,-2788525.6259172023,834108.4641350608,449313.852451645,3456816.854035581,-106465.04319803427,1.18
2010-03-01,-10767476.72933174,-2043818.9253936908,-1461639.611377897,-4458708.934411267,1961143.6456311964,4118589.227086627,0.94
2010-04-01,-51339002.9374999,-339854.11720536585,-4335323.090558585,-3852844.398572852,548151.9586406313,-1483460.7664237048,0.77
2010-05-01,-11919000.151186768,-6547.960822173406,132632.22497169228,-2721710.9308837196,4671906.977288442,1040983.7651369816,1.19
2010-06-01,-12942061.035287006,-7980369.8716013795,1534656.285753226,-2356875.0758219585,-3551269.3477341793,-2093223.3715432757,0.85
2010-07-01,-7563523.893914506,6118426.580866042,-7462298.54738074,-1407609.9114951366,4560538.8204878,-5733535.159362189,0.15
2010-08-01,11432835.336013375,-985853.1422627462,-5555865.930476683,-1575012.4810706417,10169738.130880151,4240978.526560373,0.77
2010-09-01,14428565.994793544,-6449856.906587295,-2598012.7218765155,-447006.92627229006,-2951834.5336552407,-2819320.3247232875,1.15
2010-10-01,21682860.141579688,19464537.26301932,11409843.796108678,-8553550.524456533,5010246.306404863,-1927052.4492782191,1.01
2010-11-01,-12332087.988317747,-22658247.155312896,-215494.45963230735,-969181.2467198145,-874670.7514100636,912019.2962770021,1.45
2010-12-01,-1572492.1265285446,-54730994.292531945,-29690915.630547866,9624532.499577709,-3701543.299111701,-746714.5403014001,0.69
2011-01-01,-51049310.80054326,24894904.261412214,8409713.363202615,12381582.023066275,3195577.908758857,-3061743.2990447516,0.79
2011-02-01,27720220.516973168,18607947.23483324,16100879.526394915,-3101984.8283288553,-973748.5311803047,251530.60590318817,1.0
2011-03-01,-18002452.65662019,-13613789.131511461,-5667843.263636372,10589627.45596486,-10088002.206471099,-286049.6017336343,0.62
2011-04-01,-17818390.205992877,7804186.669460955,4095331.786405501,-523314.2842301386,-4797923.023910803,-1419339.6486325613,0.45
2011-05-01,-7262456.54140551,-7494772.979879269,-3727941.914254012,6210037.564101238,4158943.6472818535,4738530.374093041,0.43
2011-06-01,-19661050.36414695,-19554529.97158977,-4713831.910838236,6385207.799525924,3428544.5228471314,3253329.1665834426,-0.18
2011-07-01,14253118.369864246,10001217.820883097,-6489415.616877044,1743172.1892592094,-8100372.7788561275,-8380668.683486364,-0.12
2011-08-01,5026488.630609498,2853919.64175566,-16421743.537026236,12557369.055675669,-6565328.859582338,-3202917.15765402,0.44
2011-09-01,-499917.7695151141,-16794408.32911131,-5704316.360237842,3267741.200234407,2619700.775415351,-894557.5744884879,0.65
2011-10-01,-23925391.61609178,3529152.715503931,2064701.5047273906,-547380.2812981245,1018308.0903364705,-1877638.5700639947,0.53
2011-11-01,-21679573.43752294,-24003104.51504259,-12668440.986919869,3156449.568317899,-10648434.427345421,1184829.090439648,0.5
2011-12-01,53812423.58189518,-12506092.35684405,1099758.321390708,-12792085.43431128,6438594.339311566,-299878.2673047821,-0.12
2012-01-01,-11321054.516229222,57498169.34691491,-6125542.418163963,9122140.08166924,16325814.891467437,-319340.4837115271,0.25
2012-02-01,-17688027.09887837,9017038.775864676,-101033.48144226486,-3279519.68550254,-14830573.342783915,-2901792.7626167554,-0.06
2012-03-01,24284786.509364918,16323303.521820284,-6143440.333775923,-1086906.3569954017,9410272.096206354,809905.5948538168,0.43
2012-04-01,-35008776.4711637,8050355.772592918,-17837286.893093072,-6227178.088196443,-6767361.364167387,-1445214.9316198525,0.85
2012-05-01,12495133.574752068,2954284.7429266674,2923810.0256212866,888172.3821198214,2072132.5377722362,-4760855.25423311,1.02
2012-06-01,-25497575.068863213,-19216566.436183684,-6956461.615261968,1137586.1756979655,-495956.0084447673,-2351412.6289733206,0.66
2012-07-01,-2581886.1730940216,10481053.839336887,-14539786.363237236,-219437.87746765703,5538454.120274712,-5320583.5327474335,1.34
2012-08-01,19555421.46454358,15139740.872582505,-10972.660251079866,-4251721.651234213,1276261.9507297494,-4446560.314453368,1.43
2012-09-01,-23310358.12709575,-15703814.50867728,-7949449.834990165,-3933959.4755441803,-6113577.7405684395,-3772744.373218878,0.97
2012-10-01,3553267.0229768213,19476949.4037343,-3771972.860877735,-3803335.9028323265,5385302.731510045,-1337606.2362299103,0.02
2012-11-01,-11980711.308703149,-10584858.560120493,-13260483.863695174,-11336859.738556638,2004175.3060827716,442945.3628476592,-0.03
2012-12-01,-13646289.78878501,-43638516.52817621,-4908547.977430111,-28160283.235391006,1073434.334298069,-871361.0116667539,0.68
2013-01-01,-55658902.74603806,59307446.25795,-8678253.511997212,16011888.828988232,3761444.632539179,-8533250.139049903,0.34
2013-02-01,-34564153.13618999,4552280.869438618,4814730.04151857,-8387368.949724849,-4294600.73432724,-2503085.0660598604,0.29
2013-03-01,-2805622.599931039,-18403981.054333933,-5367075.748062708,2822985.939674799,-901860.2430377473,-1760457.4057816067,0.21
2013-04-01,-20597151.718467634,16503957.314604083,5169661.163886806,-3360377.4434378594,6976549.027964646,-2253316.9297614843,0.15
2013-05-01,18217993.610660877,-553499.5060612959,9624768.211918458,-6402093.981182853,-2766099.756297865,-5095873.837469735,0.0
2013-06-01,-8134688.389188727,-27772190.862285767,7436215.496430833,2181203.584308184,7010139.456744516,-2421395.1563004744,0.75
2013-07-01,-26995654.48557731,4875999.250443192,-14066996.279785758,5903526.900594449,-3549890.958178015,-11090147.394435965,0.26
2013-08-01,-18402374.61494084,-10440141.148159368,5893219.179164898,-1634016.7756723678,-709488.0184915137,-5238535.335462571,0.15
2013-09-01,-16392220.020525128,-8205800.831827752,2263603.3245473756,-252880.16590999602,16148041.285281435,-1936673.233200214,1.5
2013-10-01,-13800986.362788783,5721897.25509738,6541424.422827821,-2831380.0723021897,-13968994.162571307,-9412170.355501518,0.86
2013-11-01,-13906757.101337302,-34180517.11865421,7285563.618263781,-8294693.309006446,1994046.565915869,-1906287.9093130487,0.29
2013-12-01,17261239.23647975,-33589312.396633245,-21544708.011074927,-11483871.16718648,7488695.6233681515,-4292282.352794729,0.6
2014-01-01,-46117056.313529596,31639114.073753394,21075174.04481154,14371563.769722998,-2974327.5996843367,-9704166.992523678,0.48
2014-02-01,-37664804.56513027,-17990779.18385553,-12764669.82803527,5589921.285365538,1811213.7862373823,265545.6996482716,0.38
2014-03-01,-37183156.18528469,-9063368.498524228,-2492865.115435644,8771280.794048777,-768587.1479793693,-720074.254457558,1.67
2014-04-01,-12708312.944672398,2952786.8846383356,-6644676.305836254,1451951.251312628,-4402424.834646483,705660.5327278438,0.78
2014-05-01,-291537.4066086855,7161516.146736754,-6305225.524151495,8173724.198687831,-5642095.448543436,-6177625.946958664,-0.13
2014-06-01,-8351757.441367757,-7865274.644276086,1306551.4328075873,1470397.2832839633,1887774.061258029,-2296336.837963464,-0.74
2014-07-01,22970695.685401313,28251362.96626152,-5712232.531984121,-1990244.9843099758,4005420.7753245905,-5933154.603933499,-0.61
2014-08-01,62810865.62648721,34224822.0357705,-13983166.569314403,-5618123.346234272,6543241.46735162,163039.79611423536,-0.27
2014-09-01,15222389.55197571,657675.5444633797,21355339.50201344,-12430135.130236581,5384419.092758093,-937520.5410680538,0.2
2014-10-01,-5868834.0856590485,9162321.187764574,-6949106.081164528,-51815.050517177886,-5104907.724080949,-3951229.1223496264,0.28
2014-11-01,3350645.6226652064,-10979995.675945424,-5920575.112745148,-7736348.902742787,6614246.847526704,1594566.7988098066,0.98
2014-12-01,26572467.525404472,-20205235.903726403,-591342.8924346915,-17261391.531562284,-747722.0267659815,-4271235.3004649095,0.62
2015-01-01,-68969575.7617793,28282030.554667052,-3037887.7360345656,18059257.46599554,-5419842.9102474535,-1356265.6960448476,0.76
2015-02-01,-50495293.12341899,-6304632.335640577,6694780.182340923,1227127.4618996412,1424814.986906388,4052989.465039585,0.27
2015-03-01,-10949881.599518515,4923234.886988214,8824820.89879986,2081918.9521360493,-2571871.074240363,7002885.889344375,0.98
2015-04-01,-45447625.77139948,9997525.24283605,-5010014.144271624,4070287.205007761,-3374756.741519508,107035.46227790268,1.17
2015-05-01,20412373.654513195,18091758.476472296,-2869989.8907698845,418376.4004221958,6502441.31913427,3138009.0932265786,0.41
2015-06-01,-27137441.69862103,786093.3008769394,19755070.219100077,-9211427.73088923,-9206738.32999237,1514741.2388842744,0.67
2015-07-01,-13499586.695208011,10486123.79018086,2461745.0121405693,3984327.429853309,-5428622.024942556,-5435612.575164843,0.69
2015-08-01,-44303005.21134422,-3008273.1611265815,22144355.729659714,-4939805.253142274,8129604.854383096,5722252.842989516,0.28
2015-09-01,15463760.046149954,10493283.476763176,14580206.759543754,-2991854.042613416,-9069310.74083762,-372620.9511803767,0.95
2015-10-01,-9231184.047722956,-2175909.448135891,-13760864.06790813,5997925.9703491265,10594791.06673986,2110836.574942121,1.89
2015-11-01,3728302.149317639,-1483255.8399503797,1105808.057443763,-13562291.041812375,636593.7608850189,3140118.359441346,1.52
2015-12-01,150347242.61431822,21217154.686254878,11351075.060747547,-19924435.95890865,-7526773.291433168,-7603843.874180015,0.49
2016-01-01,-109852032.41317008,15398978.743393062,63969.137680868465,13913441.09793272,4167390.7818819406,6872406.535073253,1.14
2016-02-01,-1227590.896549985,22906865.539735172,-13390841.608309414,-207597.89938878335,11375360.795018928,8499598.96906481,1.29
2016-03-01,17791288.97371166,36321834.136770174,-6660016.072301509,-5235812.904979897,-12420151.92624738,-682147.4534281637,0.51
2016-04-01,-29962315.966730542,7476411.352522722,99962.54112854323,-8755178.447102932,4275561.45747915,6801643.627613491,0.33
2016-05-01,-14140762.623619597,3609274.884268242,-469380.03985262534,2692608.3313082303,-2596065.05988346,4243330.978953999,0.82
2016-06-01,-8568489.062362142,2002580.2009534964,1109947.1348601133,-2291962.353380894,-8490588.779848969,321417.51301340695,1.69
2016-07-01,9113114.193552447,20075210.176069997,1271399.421785271,-3218384.401885749,8804158.184703322,-882938.8959603342,0.18
2016-08-01,22041012.94508839,21410296.713897943,-4583876.447441798,-3067476.4334968105,-4944163.5134198535,2009767.7040025205,0.15
2016-09-01,-717079.7532901457,12660825.737769242,-7110588.460177229,-14991781.742350804,5419287.748515711,1474660.9656316978,0.2
2016-10-01,-26431833.311773527,3277306.656663294,27022.24546921683,-3095979.5353615964,3367740.276314894,3629026.5658290796,0.16
2016-11-01,15249884.540652918,-7637105.148634888,14941140.841852106,-9714155.933163662,-4134160.509920242,-3032775.429836873,-0.03
2016-12-01,92508691.02293296,-8486668.248456111,-15982683.716476738,-15943769.68021607,2778234.4475245895,-8026388.956905706,0.54
2017-01-01,-64799913.49533668,68088049.49806629,-14738500.425611153,13633313.969216725,11647866.528477889,4266119.4816429885,0.64
2017-02-01,-26872379.64329709,-7228350.5255427025,-10507068.068979492,-4716343.343510546,4165745.9164488143,4282138.124082452,0.08
2017-03-01,38568757.55906429,38253678.14237918,2221507.1306391717,-2935324.953911756,-25537683.689913053,-4102356.8992416146,0.01
2017-04-01,-81383647.30824696,-38814788.520355485,5061892.522770689,8948606.876897594,22333723.1459646,6479213.861392129,-1.1
2017-05-01,-19915502.94009885,-19628247.047518604,1520071.8243590984,6926913.335144372,-28128074.68924361,-5368079.292618484,-0.93
2017-06-01,-9629152.67967373,-24140453.11338407,-511522.14567289903,6914495.550931949,19799091.4378761,-780271.1336086403,-0.67
2017-07-01,-46837634.08693467,2871188.750173946,-22856030.847398013,-1910776.554762218,-5451995.994799394,-3103940.1695068944,-0.72
2017-08-01,47019673.29026817,28768421.398870844,-2775711.405746751,244016.76308815615,-3054022.627998405,-4316947.165579317,0.1
2017-09-01,3516437.1341261296,4137258.4839887163,-12571301.802166903,-2699472.6829834483,3107361.079171804,-2154440.035412365,0.47
2017-10-01,-16671363.743271839,26546962.41749594,10210700.70972684,-16732993.66966155,-781364.0715149529,-23765.34172286876,0.2
2017-11-01,-28858137.917981505,-29893471.338904176,3821568.3397715297,-7958648.188729631,6865041.793927334,53375.76790378536,0.52
2017-12-01,35867644.2014903,-23792185.365987636,-9641814.989934795,-26039226.913128834,14166915.239758853,-11446476.61932523,0.89
2018-01-01,-94707587.61813997,38829480.83483321,-16016554.556994798,20213888.272400774,-7240434.639041022,-2451805.732068934,0.76
2018-02-01,-25327916.101978667,-7175483.500540107,-7541732.767637792,487241.86357691267,-7971661.3928828975,1975242.0466586167,0.07
2018-03-01,37767645.203012936,-16597664.38167157,1166892.7683697096,9964935.060189618,2919259.0703791967,966923.8916603297,0.64
2018-04-01,-47996029.07696948,-6050494.64270805,1255803.101396011,-10090632.252482615,-4610745.763939494,219559.6609429476,0.57
2018-05-01,14826411.417714018,-1307626.8999516605,52470614.792360105,-6282678.635367355,13337171.235375,-3266234.9537392925,1.38
2018-06-01,50709715.91477292,-1276886.872190711,16884455.853352454,5854547.476312849,-130460.76659539787,-6433556.73816953,1.87
2018-07-01,-52968493.007241294,-4124596.5951852784,-18168269.543201946,4197805.337686504,3387526.8312286288,-2315900.5174167682,0.51
2018-08-01,88881678.99805003,26509280.319304664,12321381.82660039,-12639694.740963986,6807829.370996059,-4044639.1134250085,0.7
2018-09-01,29548235.462232385,-12064772.760913588,-1835601.7083794035,4891938.810428352,-6621847.238353654,-7114473.426355804,1.52
2018-10-01,-54641011.31091867,10429330.014627934,-34594369.47544169,11231636.183050966,1422905.296477816,1524935.8603566985,0.89
2018-11-01,-39880148.75740156,-15411987.353837973,-9518758.34062876,-12830517.724398365,-6358480.589260532,-941696.3694988417,-0.49
2018-12-01,170563159.43081015,6513670.531644654,-36716755.72193139,-10608833.225709124,-3832928.426499543,-6380699.319072784,-1.08
2019-01-01,-185646668.40956876,17831634.56665412,7949695.321269465,12402518.019730931,-1191544.138060802,1559709.5356942778,0.01
2019-02-01,-44172764.85721701,-9397094.993434226,-10850637.778296465,-573614.2782770541,4320050.870067615,7670317.231605465,0.88
2019-03-01,37474791.35127168,2965000.4713389347,17045055.67656254,380259.9171404599,-2866560.1431390247,-1495017.0830190005,1.26
2019-04-01,-38854915.88127787,-7215409.771555887,-1953151.8970344602,2747894.732789237,-4116058.6925205477,2661570.3182543525,0.92
2019-05-01,31929519.06557079,22613822.6554067,-22221604.22080051,9006411.661976714,-3757049.2205954776,-1287561.6897817198,0.45
2019-06-01,2646563.041400494,-3290598.4560849178,-13231978.844055088,592151.7303187875,-3856414.9305210197,65665.67539625149,0.8
2019-07-01,-7077439.781529378,17330874.591301605,-15582423.19328492,2527445.0743251396,-5107075.847779123,-1106063.1045223332,0.4
2019-08-01,38826179.28613674,13175653.988967588,44956124.02166069,-15526159.534454329,14175575.022235107,-1017979.7097868002,-0.67
2019-09-01,63187466.258566365,4565897.590208276,-15838305.945736049,-1992035.083821857,-6350603.957554209,-4628654.583047277,-0.01
2019-10-01,-44745118.08256654,-7884561.371716323,-18527676.143880557,14089331.097748151,1295063.6596067236,-615560.1513145256,0.68
