,alpha,fit_inter,mean_square_error
377,1.5134669338677356,False,0.7440868542379753
376,1.5094789579158319,False,0.7440868545169982
375,1.505490981963928,True,0.7440868547960211
374,1.5015030060120242,False,0.7440868550750441
373,1.4975150300601203,True,0.744086855369108
372,1.4935270541082166,False,0.744086855648131
371,1.4895390781563127,False,0.744086855927154
370,1.485551102204409,True,0.744086856206177
369,1.481563126252505,False,0.7440868564852
368,1.4775751503006014,True,0.744086856764223
367,1.4735871743486975,True,0.7440868570432461
366,1.4695991983967938,False,0.7440868573222692
365,1.4656112224448898,True,0.7440868576012921
364,1.4616232464929861,True,0.7440868578803151
363,1.4576352705410822,False,0.7440868581593383
362,1.4536472945891785,True,0.7440868584383614
361,1.4496593186372746,False,0.7440868587173846
360,1.445671342685371,True,0.7440868589964077
359,1.441683366733467,False,0.7440868592754308
358,1.4376953907815633,False,0.7440868595544541
357,1.4337074148296594,True,0.7440868598334772
356,1.4297194388777557,True,0.7440868601125004
355,1.4257314629258517,False,0.7440868603915237
354,1.421743486973948,True,0.7440868606705469
353,1.4177555110220441,True,0.7440868609495701
352,1.4137675350701404,True,0.7440868612285934
351,1.4097795591182365,False,0.7440868615076166
350,1.4057915831663328,False,0.74408686178664
349,1.4018036072144289,False,0.7440868620656632
348,1.3978156312625252,False,0.7440868623446866
347,1.3938276553106212,True,0.7440868626237099
346,1.3898396793587176,False,0.7440868629027334
345,1.3858517034068136,True,0.7440868631817568
344,1.38186372745491,False,0.7440868634607802
343,1.377875751503006,True,0.7440868637398037
342,1.3738877755511023,False,0.7440868640188271
341,1.3698997995991986,True,0.7440868642978504
340,1.3659118236472947,True,0.744086864576874
339,1.361923847695391,False,0.7440868648558974
338,1.357935871743487,False,0.744086865134921
337,1.3539478957915834,False,0.7440868654139445
336,1.3499599198396794,False,0.744086865692968
335,1.3459719438877757,True,0.7440868659719915
334,1.3419839679358718,True,0.7440868662510152
333,1.3379959919839681,False,0.7440868665300386
332,1.3340080160320642,False,0.7440868668090623
331,1.3300200400801605,False,0.7440868670880858
330,1.3260320641282566,False,0.7440868673671096
329,1.3220440881763529,False,0.7440868676461333
328,1.318056112224449,False,0.7440868679251568
327,1.3140681362725453,False,0.7440868682041806
326,1.3100801603206413,True,0.7440868684832043
325,1.3060921843687376,False,0.744086868762228
324,1.3021042084168337,True,0.7440868690412518
323,1.29811623246493,False,0.7440868693202753
322,1.294128256513026,True,0.7440868695992991
321,1.2901402805611224,True,0.7440868698783228
320,1.2861523046092185,False,0.7440868701573468
