"";"TIPO";"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_CGCE";"INDICE";"NO_CLASSIFICACAO";"NO_TIPO_CLASSIFICACAO";"NO_CGCE"
"48";"TERMOS_DE_TROCA";"PRECO";2023;3;"CO_CGCE_N1_3";109,55646959603;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"49";"EXP";"PRECO";2023;2;"CO_CGCE_N1_2";179,937459657111;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"50";"EXP";"PRECO";2023;2;"CO_CGCE_N1_1";127,853102480119;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"51";"EXP";"PRECO";2023;2;"CO_CGCE_N1_3";147,711364578665;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"52";"EXP";"QUANTUM";2023;2;"CO_CGCE_N1_2";112,580604812016;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"53";"EXP";"QUANTUM";2023;2;"CO_CGCE_N1_1";76,0340543174301;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"54";"EXP";"QUANTUM";2023;2;"CO_CGCE_N1_3";81,578657400403;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"55";"EXP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_2";148,949680124465;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"56";"EXP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_1";94,4163683371892;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"57";"EXP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_3";94,2237215348142;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"58";"IMP";"PRECO";2023;2;"CO_CGCE_N1_2";148,663901870695;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"59";"IMP";"PRECO";2023;2;"CO_CGCE_N1_1";93,9265067095944;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"60";"IMP";"PRECO";2023;2;"CO_CGCE_N1_3";138,933349235689;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"61";"IMP";"PRECO";2023;2;"CO_CGCE_N1_4";142,344318355324;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"62";"IMP";"QUANTUM";2023;2;"CO_CGCE_N1_2";158,409553798384;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"63";"IMP";"QUANTUM";2023;2;"CO_CGCE_N1_1";230,164957633761;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"64";"IMP";"QUANTUM";2023;2;"CO_CGCE_N1_3";171,71962180467;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"65";"IMP";"QUANTUM";2023;2;"CO_CGCE_N1_4";142,080503336908;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"66";"IMP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_2";182,758352182265;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"67";"IMP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_1";273,278358586162;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"68";"IMP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_3";195,110422660376;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"69";"IMP_DESSAZONALIZADA";"QUANTUM";2023;2;"CO_CGCE_N1_4";165,646944071256;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"70";"TERMOS_DE_TROCA";"PRECO";2023;2;"CO_CGCE_N1_2";121,036416637051;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"71";"TERMOS_DE_TROCA";"PRECO";2023;2;"CO_CGCE_N1_1";136,120363632196;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"72";"TERMOS_DE_TROCA";"PRECO";2023;2;"CO_CGCE_N1_3";106,318148516009;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"73";"EXP";"PRECO";2023;1;"CO_CGCE_N1_2";179,529124087981;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"74";"EXP";"PRECO";2023;1;"CO_CGCE_N1_1";126,343177467153;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"75";"EXP";"PRECO";2023;1;"CO_CGCE_N1_3";150,737177529299;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"76";"EXP";"QUANTUM";2023;1;"CO_CGCE_N1_2";113,46880649751;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"77";"EXP";"QUANTUM";2023;1;"CO_CGCE_N1_1";73,2513313576753;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"78";"EXP";"QUANTUM";2023;1;"CO_CGCE_N1_3";90,9499539441709;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"79";"EXP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_2";146,299511404762;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"80";"EXP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_1";99,4483201159695;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"81";"EXP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_3";103,993027750997;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"82";"IMP";"PRECO";2023;1;"CO_CGCE_N1_2";149,519919620606;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"83";"IMP";"PRECO";2023;1;"CO_CGCE_N1_1";92,9284504271118;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"84";"IMP";"PRECO";2023;1;"CO_CGCE_N1_3";136,105605240011;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"85";"IMP";"PRECO";2023;1;"CO_CGCE_N1_4";151,256986555164;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"86";"IMP";"QUANTUM";2023;1;"CO_CGCE_N1_2";190,204194240781;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"87";"IMP";"QUANTUM";2023;1;"CO_CGCE_N1_1";263,944231867278;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"88";"IMP";"QUANTUM";2023;1;"CO_CGCE_N1_3";198,328059070245;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"89";"IMP";"QUANTUM";2023;1;"CO_CGCE_N1_4";138,344248130252;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"90";"IMP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_2";196,559925961795;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"91";"IMP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_1";265,643791524745;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"92";"IMP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_3";202,911461161273;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"93";"IMP_DESSAZONALIZADA";"QUANTUM";2023;1;"CO_CGCE_N1_4";138,90571224454;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"94";"TERMOS_DE_TROCA";"PRECO";2023;1;"CO_CGCE_N1_2";120,070372257771;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"95";"TERMOS_DE_TROCA";"PRECO";2023;1;"CO_CGCE_N1_1";135,957477916034;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"96";"TERMOS_DE_TROCA";"PRECO";2023;1;"CO_CGCE_N1_3";110,750161437868;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"97";"EXP";"PRECO";2022;12;"CO_CGCE_N1_2";173,098674749715;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"98";"EXP";"PRECO";2022;12;"CO_CGCE_N1_1";128,949534422804;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"99";"EXP";"PRECO";2022;12;"CO_CGCE_N1_3";153,114510474131;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"100";"EXP";"QUANTUM";2022;12;"CO_CGCE_N1_2";128,559369733938;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
