categoria;variavel;acronimo;unidade;fonte_primaria;fonte_direta;code;transformações necessárias
Índice de Preços;Índice Geral de Preços - Mercado (IGP-M);igpm;% a.m.;FGV;BCB;189;
Índice de Preços;Índice nacional de custo da construção (INCC);incc;% a.m.;FGV;BCB;192;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA);ipca;% a.m.;IBGE;BCB;433;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Comercializáveis;ipca_comercializaveis;% a.m.;BCB;BCB;4447;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Itens livres;ipca_livres;% a.m.;BCB;BCB;11428;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Monitorados;ipca_monitorados;% a.m.;BCB;BCB;4449;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Não comercializáveis;ipca_nao_comercializaveis;% a.m.;BCB;BCB;4448;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Núcleo de dupla ponderação;ipca_dp;% a.m.;BCB;BCB;16122;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Núcleo médias aparadas com suavização;ipca_ms;% a.m.;BCB;BCB;4466;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Núcleo Percentil 55;ipca_p55;% a.m.;BCB;BCB;28750;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Núcleo por exclusão - EX0;ipca_ex0;% a.m.;BCB;BCB;11427;
Índice de Preços;Índice Nacional de Preços ao Consumidor Amplo (IPCA) - Núcleo por exclusão - EX3;ipca_ex3;% a.m.;BCB;BCB;27839;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Bens de capital - Dados dessazonalizados;ind_bens_k;Índice;IBGE;BCB;28506;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Bens de consumo - Dados dessazonalizados;ind_bens_consumo;Índice;IBGE;BCB;28508;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Bens de consumo duráveis - Dados dessazonalizados;ind_bens_cons_duraveis;Índice;IBGE;BCB;28509;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Bens intermediários - Dados dessazonalizados;ind_bens_intermediarios;Índice;IBGE;BCB;28507;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Extrativa mineral - Dados dessazonalizados;ind_extrativa;Índice;IBGE;BCB;28504;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Geral - Dados dessazonalizados;ind_geral;Índice;IBGE;BCB;28503;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Indústria de transformação - Dados dessazonalizados;ind_transformacao;Índice;IBGE;BCB;28505;
Indústria;Indicadores da produção (PIM-PF, 2012=100) - Semiduráveis e não duráveis - Dados dessazonalizados;ind_semi_nao_duraveis;Índice;IBGE;BCB;28510;
Indústria;Produção de aço bruto - Dessazonalizado;prod_aco;Índice;BCB;BCB;28546;
Indústria;Produção de automóveis e comerciais leves;prod_veic_leves;Unidades;Anfavea;BCB;1374;
Indústria;Produção de caminhões;prod_caminhao;Unidades;Anfavea;BCB;1375;
Indústria;Produção de ônibus;prod_onibus;Unidades;Anfavea;BCB;1376;
Indústria;Produção total de autoveículos;prod_veiculos;Unidades;Anfavea;BCB;1373;
